customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00024,Female,0,No,No,40,Yes,No,DSL,Yes,Yes,No internet service,No,No,No,Two year,No,Credit card (automatic),88.65,8680.57,No
CUST-00025,Female,0,No,No,44,Yes,No,DSL,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Electronic check,24.34,1286.09,No
CUST-00026,Female,0,No,Yes,59,Yes,No,No,No internet service,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.98,4946.72,No
CUST-00027,Female,0,No,No,25,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,44.28,7177.32,Yes
CUST-00028,Female,0,No,Yes,71,Yes,No,No,No,No internet service,No,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),100.08,3072.58,No
CUST-00029,Female,0,No,No,53,Yes,No,No,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.69,2227.64,No
CUST-00030,Male,0,Yes,No,48,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),92.02,2543.11,No
CUST-00031,Male,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Electronic check,110.64,2817.24,No
CUST-00032,Female,0,No,No,53,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,87.72,2240.86,No
CUST-00033,Female,0,Yes,Yes,49,Yes,No,DSL,No internet service,Yes,No internet service,No,Yes,No,One year,Yes,Bank transfer (automatic),41.85,597.83,No
CUST-00034,Female,0,No,No,43,No,No phone service,DSL,No internet service,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Electronic check,88.59,7984.33,No
CUST-00035,Male,0,Yes,No,19,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.6,7818.39,Yes
CUST-00036,Female,1,No,No,66,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),111.15,7405.08,No
CUST-00037,Male,0,Yes,No,34,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.01,6665.25,Yes
CUST-00038,Male,1,No,No,54,Yes,No,DSL,Yes,Yes,No internet service,No internet service,No,No internet service,Month-to-month,No,Electronic check,115.67,6502.97,Yes
CUST-00039,Male,0,Yes,No,1,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,87.11,6136.7,No
CUST-00040,Male,0,Yes,No,55,Yes,No,No,No,No,No,No internet service,No,Yes,One year,No,Mailed check,50.24,7404.25,No
CUST-00041,Male,0,No,Yes,15,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Mailed check,69.48,491.67,Yes
CUST-00042,Female,0,No,No,15,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,94.81,6689.41,No
CUST-00043,Female,0,Yes,Yes,23,Yes,Yes,No,Yes,No,No internet service,No,No,No internet service,Two year,No,Mailed check,23.02,7543.83,No
CUST-00044,Female,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),52.04,5641.1,No
CUST-00045,Female,0,No,No,46,No,No,DSL,Yes,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),107.39,7373.53,No
CUST-00046,Female,1,Yes,No,9,Yes,No phone service,DSL,No,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),29.0,2597.04,No
CUST-00047,Male,0,No,No,66,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,71.31,3151.58,No
CUST-00048,Female,0,Yes,No,66,Yes,No,DSL,No internet service,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),76.09,5306.39,No
CUST-00049,Female,0,Yes,No,18,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),47.09,1246.0,No
CUST-00050,Male,0,No,No,17,Yes,Yes,DSL,No internet service,No,No,Yes,Yes,No internet service,One year,No,Electronic check,58.88,1675.95,No
CUST-00051,Female,0,No,Yes,72,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Mailed check,109.73,8632.38,No
CUST-00052,Male,0,No,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,No,No internet service,Month-to-month,No,Credit card (automatic),24.32,6842.72,No
CUST-00053,Female,1,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No internet service,One year,No,Electronic check,34.47,996.72,Yes
CUST-00054,Male,0,Yes,No,64,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Mailed check,108.82,1030.02,No
CUST-00055,Female,0,Yes,No,44,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Electronic check,36.27,3420.35,Yes
CUST-00056,Female,0,No,No,29,Yes,Yes,No,Yes,No,No internet service,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),35.76,8665.76,No
CUST-00057,Male,0,Yes,No,62,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),76.99,8468.73,Yes
CUST-00058,Male,0,Yes,No,16,Yes,No,DSL,No,No internet service,Yes,No internet service,No internet service,No,Two year,Yes,Electronic check,117.18,4115.06,No
CUST-00059,Male,0,No,No,52,Yes,No,DSL,Yes,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,63.17,3848.59,No
CUST-00060,Male,0,Yes,No,2,Yes,No,No,No,No,No internet service,Yes,No internet service,No,Two year,No,Mailed check,70.75,5124.92,No
CUST-00061,Male,0,Yes,Yes,61,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,101.3,5754.81,No
CUST-00062,Male,0,No,Yes,4,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),88.23,2313.7,Yes
CUST-00063,Male,0,No,Yes,52,Yes,No phone service,DSL,No internet service,No,No,No,Yes,No internet service,Month-to-month,No,Electronic check,118.35,1498.89,No
CUST-00064,Male,0,No,No,41,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),79.82,7096.91,No
CUST-00065,Female,0,No,No,52,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),60.43,3087.42,No
CUST-00066,Female,0,No,No,31,Yes,No,No,No,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,51.78,358.04,No
CUST-00067,Male,1,No,Yes,26,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,117.49,7451.47,No
CUST-00068,Female,1,No,No,27,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),99.49,6384.32,Yes
CUST-00069,Female,0,No,No,51,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),100.63,6268.98,Yes
CUST-00070,Female,0,No,No,48,Yes,Yes,DSL,No,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,37.79,5665.79,No
CUST-00071,Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No,One year,Yes,Mailed check,64.52,3606.46,No
CUST-00072,Male,0,No,No,8,Yes,No,DSL,No internet service,Yes,No,No,Yes,No,One year,No,Electronic check,20.53,7715.01,No
CUST-00073,Female,1,No,Yes,12,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),71.96,3184.93,No
CUST-00074,Male,0,Yes,Yes,45,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,25.67,2339.88,No
CUST-00075,Female,1,No,Yes,34,Yes,No,DSL,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),38.05,4695.47,Yes
CUST-00076,Female,1,Yes,No,72,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Electronic check,46.59,4035.9,No
CUST-00077,Female,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,100.38,310.77,No
CUST-00078,Male,0,No,No,21,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,28.55,2505.31,No
CUST-00079,Female,0,Yes,No,41,Yes,No,No,No,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,109.45,3323.58,No
CUST-00080,Male,1,No,No,22,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,No,Two year,Yes,Bank transfer (automatic),75.16,6880.97,No
CUST-00081,Female,0,No,No,21,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,Yes,Electronic check,29.18,3463.35,Yes
CUST-00082,Male,1,Yes,Yes,28,Yes,No,No,No,No,Yes,No internet service,Yes,Yes,One year,No,Electronic check,117.44,8161.97,Yes
CUST-00083,Female,0,Yes,No,67,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,18.46,6437.38,No
CUST-00084,Male,0,Yes,No,71,Yes,No,No,Yes,No,No internet service,No,No,Yes,Two year,Yes,Bank transfer (automatic),34.63,7117.33,No
CUST-00085,Male,1,No,Yes,14,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,36.73,7736.42,No
CUST-00086,Female,0,No,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),105.5,1715.28,No
CUST-00087,Male,0,Yes,No,43,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),53.21,6972.76,Yes
CUST-00088,Female,0,No,No,71,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),102.15,1693.02,Yes
CUST-00089,Female,0,No,No,19,Yes,No,DSL,Yes,No,No,No internet service,No internet service,No,Month-to-month,No,Electronic check,22.48,4780.42,No
CUST-00090,Female,0,Yes,No,27,Yes,No,No,No,No,No,Yes,No,No,One year,Yes,Electronic check,114.59,2671.13,No
CUST-00091,Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),104.05,4331.65,Yes
CUST-00092,Female,1,Yes,Yes,13,No,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,66.08,1846.64,Yes
CUST-00093,Female,1,Yes,Yes,1,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,33.61,8350.46,Yes
CUST-00094,Female,0,Yes,Yes,34,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,40.73,5790.26,Yes
CUST-00095,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,No,Two year,Yes,Electronic check,41.14,2191.68,No
CUST-00096,Female,0,Yes,No,51,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),88.88,2069.16,No
CUST-00097,Female,0,Yes,No,1,No,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,55.92,1386.56,No
CUST-00098,Female,1,Yes,No,28,Yes,No phone service,DSL,No,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,18.56,6753.42,Yes
CUST-00099,Male,0,Yes,No,32,No,No phone service,No,Yes,No,No internet service,Yes,No,Yes,Month-to-month,No,Electronic check,56.85,4175.21,No
CUST-00100,Male,0,No,No,72,Yes,No,No,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),75.72,7769.26,No
CUST-00101,Female,0,No,No,55,Yes,No,DSL,No internet service,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.66,28.72,Yes
CUST-00102,Female,0,Yes,Yes,26,Yes,Yes,DSL,No,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),73.64,4323.07,Yes
CUST-00103,Female,0,No,No,14,Yes,No,DSL,No,Yes,No,Yes,No internet service,Yes,Two year,No,Bank transfer (automatic),96.33,4239.91,No
CUST-00104,Female,0,No,No,68,Yes,Yes,No,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),74.95,8534.24,No
CUST-00105,Female,0,No,Yes,63,Yes,No,DSL,No internet service,No,No,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),51.56,6302.02,Yes
CUST-00106,Female,0,No,No,14,Yes,No phone service,DSL,No internet service,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,54.54,4691.2,No
CUST-00107,Female,0,No,No,27,No,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,61.51,5055.57,Yes
CUST-00108,Female,0,No,Yes,41,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),103.43,6077.41,No
CUST-00109,Male,0,Yes,Yes,3,Yes,No,No,No internet service,No internet service,Yes,No,No,No,Month-to-month,No,Electronic check,21.44,7981.29,Yes
CUST-00110,Female,0,Yes,Yes,59,Yes,No phone service,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),53.87,571.6,No
CUST-00111,Male,0,No,No,23,Yes,Yes,DSL,No,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),114.67,575.25,No
CUST-00112,Female,0,No,No,18,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,101.78,1799.88,Yes
CUST-00113,Female,0,Yes,No,41,No,Yes,DSL,Yes,No,No internet service,Yes,Yes,Yes,Two year,No,Mailed check,31.8,3847.36,No
CUST-00114,Male,0,No,No,8,Yes,No,DSL,No,No,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,53.92,3046.25,No
CUST-00115,Female,1,No,No,32,Yes,Yes,No,No internet service,No,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),20.06,469.78,No
CUST-00116,Male,1,No,No,41,Yes,Yes,No,No internet service,Yes,Yes,No internet service,Yes,No,Two year,No,Mailed check,91.57,5204.54,Yes
CUST-00117,Female,0,No,No,45,Yes,No,No,No,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),28.66,7325.81,No
CUST-00118,Female,1,No,No,9,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Electronic check,57.04,503.63,Yes
CUST-00119,Male,0,Yes,No,48,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,109.01,4552.05,No
CUST-00120,Female,0,Yes,No,24,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),31.99,8525.02,Yes
CUST-00121,Male,0,No,No,44,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),50.98,454.52,No
CUST-00122,Female,0,Yes,No,58,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,100.22,2570.14,No
CUST-00123,Male,0,No,Yes,66,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),81.79,3849.3,Yes
CUST-00124,Male,0,No,Yes,18,Yes,No,No,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),94.54,1521.57,No
CUST-00125,Female,0,No,No,29,Yes,No,Fiber optic,Yes,No,No,No,Yes,No internet service,One year,No,Bank transfer (automatic),114.63,4795.63,No
CUST-00126,Female,0,No,Yes,2,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Mailed check,110.04,7402.27,No
CUST-00127,Male,0,No,No,68,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No,Yes,One year,Yes,Credit card (automatic),47.05,3191.21,No
CUST-00128,Female,1,No,No,39,Yes,Yes,No,No,No internet service,No,No,Yes,No internet service,Month-to-month,No,Mailed check,48.29,94.91,No
CUST-00129,Female,0,No,Yes,41,Yes,Yes,No,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Mailed check,26.93,5337.07,No
CUST-00130,Female,0,No,Yes,71,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,55.98,7664.55,No
CUST-00131,Male,0,No,Yes,22,Yes,Yes,DSL,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,96.08,6894.79,No
CUST-00132,Male,0,Yes,Yes,49,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,44.22,5657.8,Yes
CUST-00133,Male,0,No,No,28,Yes,No,Fiber optic,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Mailed check,101.47,6739.31,No
CUST-00134,Male,0,Yes,No,16,Yes,No,No,No,No,No internet service,Yes,No,No,Two year,No,Bank transfer (automatic),75.85,2813.54,No
CUST-00135,Male,0,Yes,No,68,Yes,No phone service,DSL,No,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,54.45,4228.61,No
CUST-00136,Male,0,No,No,62,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No,Two year,Yes,Credit card (automatic),60.28,3352.65,Yes
CUST-00137,Male,0,Yes,No,36,Yes,Yes,DSL,No,Yes,No internet service,No,No,No,Month-to-month,No,Electronic check,95.73,365.19,Yes
CUST-00138,Male,0,No,No,22,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,No,One year,Yes,Electronic check,50.03,2145.45,No
CUST-00139,Male,0,No,No,11,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),90.27,4324.5,No
CUST-00140,Female,0,No,No,42,Yes,No,No,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),60.16,5612.83,No
CUST-00141,Male,0,No,Yes,55,No,No,DSL,No,Yes,No internet service,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.24,185.81,No
CUST-00142,Female,0,Yes,Yes,35,Yes,No,Fiber optic,No,No,Yes,No internet service,No,No internet service,Month-to-month,No,Mailed check,39.53,8050.62,No
CUST-00143,Female,1,Yes,Yes,57,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),49.27,5195.44,Yes
CUST-00144,Female,1,No,Yes,34,Yes,Yes,No,No internet service,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),68.25,7249.97,No
CUST-00145,Male,1,Yes,No,70,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),93.52,1617.85,Yes
CUST-00146,Male,0,Yes,Yes,4,Yes,Yes,DSL,No,Yes,No,No,No internet service,Yes,Two year,Yes,Credit card (automatic),34.09,5456.86,No
CUST-00147,Male,0,Yes,No,46,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,109.04,721.18,No
CUST-00148,Male,0,No,No,11,Yes,No,Fiber optic,No,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),20.04,3941.89,No
CUST-00149,Female,0,Yes,No,61,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No internet service,No,One year,Yes,Bank transfer (automatic),20.9,6061.45,Yes
CUST-00150,Male,0,Yes,No,35,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),63.37,5749.02,Yes
CUST-00151,Male,0,Yes,Yes,69,Yes,Yes,No,No,Yes,No,No,No,No internet service,Two year,No,Credit card (automatic),101.53,2043.0,No
CUST-00152,Male,1,No,No,57,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,31.49,981.14,Yes
CUST-00153,Male,0,Yes,Yes,11,Yes,Yes,No,No internet service,No,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,67.03,3099.33,No
CUST-00154,Male,1,Yes,No,12,Yes,Yes,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),61.35,5308.67,Yes
CUST-00155,Female,0,No,No,43,Yes,Yes,DSL,No internet service,No,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,93.11,795.39,No
CUST-00156,Male,0,Yes,No,19,Yes,Yes,DSL,No internet service,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),39.74,7273.4,No
CUST-00157,Female,0,No,No,68,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,No,One year,Yes,Credit card (automatic),77.95,4385.51,No
CUST-00158,Male,0,No,No,59,Yes,Yes,DSL,Yes,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,110.67,7451.93,No
CUST-00159,Female,0,No,Yes,2,Yes,No,Fiber optic,No,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.79,5643.85,No
CUST-00160,Male,0,No,Yes,8,Yes,No,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,One year,Yes,Electronic check,107.14,8460.54,Yes
CUST-00161,Male,0,No,No,22,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),39.24,4278.41,No
CUST-00162,Female,0,No,No,21,Yes,Yes,No,Yes,Yes,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),26.55,6307.45,Yes
CUST-00163,Female,1,Yes,No,29,Yes,No,No,No,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Mailed check,50.33,4266.0,No
CUST-00164,Female,0,No,Yes,37,Yes,No,Fiber optic,Yes,No,No internet service,Yes,Yes,Yes,One year,Yes,Credit card (automatic),69.52,1485.82,No
CUST-00165,Male,1,Yes,No,29,Yes,No phone service,No,Yes,Yes,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,54.14,795.26,No
CUST-00166,Female,0,Yes,No,37,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,31.57,2062.95,No
CUST-00167,Male,0,No,No,21,No,Yes,DSL,No,Yes,No internet service,No internet service,No,Yes,Two year,No,Bank transfer (automatic),66.15,5030.75,No
CUST-00168,Male,0,Yes,No,12,Yes,No,DSL,Yes,No internet service,No,No,No internet service,No,Month-to-month,Yes,Mailed check,18.46,7238.48,Yes
CUST-00169,Female,0,Yes,No,48,Yes,No,No,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,19.21,1246.89,No
CUST-00170,Female,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,No,Yes,No,No,No internet service,One year,Yes,Electronic check,101.79,8027.77,No
CUST-00171,Male,0,No,No,15,Yes,No,DSL,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,75.37,4166.32,No
